algorithm,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10),config
mlr,0.317,0.376,0.369,0.278,0.361,0.322,0.355,0.38,0.277,0.317,0.14,0.132,0.138,0.142,0.139,0.141,0.14,0.137,0.147,0.135,bands_row
mlr,0.301,0.301,0.326,0.384,0.397,0.32,0.275,0.321,0.343,0.275,0.143,0.145,0.142,0.132,0.142,0.133,0.136,0.145,0.14,0.143,R20m_bands_row
mlr,0.327,0.363,0.348,0.371,0.3,0.327,0.288,0.411,0.315,0.318,0.136,0.142,0.14,0.137,0.136,0.142,0.138,0.128,0.147,0.141,R20m_R10m_bands_row
mlr,0.34,0.311,0.283,0.309,0.346,0.376,0.33,0.35,0.322,0.277,0.134,0.143,0.139,0.144,0.147,0.127,0.143,0.144,0.142,0.139,R20m_R60m_bands_row
mlr,0.107,0.177,0.158,0.141,0.15,0.17,0.15,0.116,0.149,0.163,0.159,0.151,0.168,0.158,0.154,0.16,0.149,0.162,0.148,0.164,props_ex_som_row
mlr,0.425,0.401,0.418,0.328,0.363,0.434,0.366,0.421,0.422,0.429,0.129,0.129,0.132,0.139,0.142,0.129,0.123,0.129,0.136,0.13,all_ex_som_row
svr,0.436,0.539,0.537,0.576,0.503,0.541,0.499,0.559,0.544,0.499,0.138,0.117,0.103,0.116,0.119,0.116,0.12,0.112,0.119,0.116,bands_row
svr,0.496,0.504,0.53,0.563,0.473,0.546,0.506,0.446,0.522,0.564,0.127,0.119,0.121,0.111,0.119,0.117,0.113,0.13,0.117,0.112,R20m_bands_row
svr,0.525,0.539,0.481,0.511,0.546,0.511,0.466,0.501,0.572,0.519,0.115,0.114,0.126,0.116,0.12,0.116,0.118,0.119,0.115,0.124,R20m_R10m_bands_row
svr,0.522,0.486,0.537,0.471,0.491,0.522,0.499,0.545,0.584,0.499,0.115,0.116,0.117,0.116,0.122,0.127,0.117,0.122,0.12,0.112,R20m_R60m_bands_row
svr,0.496,0.466,0.49,0.427,0.405,0.463,0.484,0.395,0.44,0.455,0.125,0.124,0.129,0.121,0.122,0.124,0.131,0.13,0.13,0.125,props_ex_som_row
svr,0.654,0.679,0.652,0.691,0.606,0.723,0.703,0.695,0.704,0.668,0.096,0.097,0.097,0.093,0.11,0.095,0.096,0.096,0.093,0.095,all_ex_som_row
ann,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bands_row
ann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R20m_bands_row
ann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R20m_R10m_bands_row
ann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R20m_R60m_bands_row
ann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,props_ex_som_row
ann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_ex_som_row
